id;proper;con;mag;dist;spect;ci;lum;x;y;z
45809;Markeb;Vel;2.47;175.4386;B2IV;-0.141;2756.7666102901003;-77.65777;63.951481;-143.729782
78029;Fang;Sco;2.89;179.5332;B1V + B2V;-0.18;1960.6496672266007;-81.301517;-139.203202;-79.023364
14540;Algol;Per;2.09;27.571;B8V;-0.003;96.56060985415496;14.189428;15.238793;18.072114
92659;Alya B;Ser;4.98;51.9481;A5Vn;0.204;23.9441817286338;12.587009;-50.255684;3.806479
113961;Ebla;Psc;8.59;28.5551;K3V;1.012;0.260135725665313;27.833867;-6.27534;-1.126403
115718;Poerava;Tuc;7.82;55.2792;F7V;0.513;1.98243976287264;28.894288;-3.632398;-46.986336
87314;Grumium;Dra;3.73;34.5066;K2III;1.177;33.419504002611426;-0.532395;-18.850278;28.897629
72113;Mönch;Vir;8.04;31.7058;K0III;0.781;0.5325985748490616;-23.603748;-21.168292;-0.15576
61166;Kraz;Crv;2.65;44.6628;G5II;0.893;151.3561248436207;-40.529889;-6.127261;-17.73539
55359;;Cen;9.28;100000.0;B1.5Ve;0.053;1690440.9316432667;-47716.816812;7914.712993;-87524.069236
70851;Seginus;Boo;3.04;26.6099;A7IIIvar;0.191;37.49730022454834;-16.449442;-12.860715;16.49506
22396;Tabit;Ori;3.19;8.0684;F6V;0.484;3.003308878676558;2.413721;7.63677;0.977904
60731;3C 273;Vir;12.88;100000.0;;0.12;61376.20051647933;-99130.70606;-12660.058622;3581.344963
89906;Kaus Australis;Sgr;1.79;43.9367;B9.5III;-0.031;323.2957533680941;3.817188;-36.057831;-24.812975
65592;;Cen;10.65;100000.0;;0.375;478630.092322638;-53169.449135;-21824.240478;-81833.441858
113687;Lacaille 9352;PsA;7.35;3.2759;M2/M3V;1.483;0.0107349493580523;2.581532;-0.621353;-1.918773
10800;Mira;Cet;6.47;91.659;M5e-M9e;0.966;18.897310544316767;75.131148;52.288786;-4.761374
5337;Wurren;Phe;3.94;91.5751;B6V + B0V;-0.12;193.9099078614849;49.896436;15.346501;-75.238648
62890;Minelauva;Vir;3.39;60.8273;M3III;1.571;141.90575216890926;-58.94191;-14.587593;3.604756
67786;Leepwal;Cen;2.55;117.096;B2.5IV;-0.176;1140.7750129221204;-69.545858;-38.36753;-86.039492
112997;Helvetios;Peg;5.45;15.6079;G5V;0.666;1.4021678337057588;14.053522;-3.93265;5.534429
26159;;Ori;6.71;100000.0;B0.5Vp...;0.08;18030177.4085957;10714.809969;98979.955565;-9389.424854
59621;Gienah;Crv;2.58;47.1032;B8III;-0.107;179.47336268325265;-44.805937;-3.095058;-14.197066
80776;Rosalíadecastro;Oph;7.89;62.0347;G0;0.68;2.3399145610550987;-23.009677;-57.565318;2.256769
69205;Kang;Vir;4.18;78.125;K3III;1.323;113.13578641195627;-64.306477;-42.119366;-13.933635
29477;Amadioha;CMa;8.98;56.3063;G8/K0IV/V;0.817;0.7066429004252072;-2.893727;48.727238;-28.065674
114887;Salm;Peg;4.58;49.5786;A5V;0.18;31.506488329723936;44.715629;-7.756411;19.960021
117750;;Cas;10.26;100000.0;A0;0.741;685488.226452662;39982.066951;-424.239313;91658.356647
113603;Markab;Peg;2.49;40.8831;B9.5III;-0.002;146.96028989796503;38.311434;-9.417123;10.722722
93846;Albaldah;Sgr;2.88;156.25;F2II/III;0.377;1498.30421062266;43.714239;-139.143552;-56.055078
46954;Illyrian;LMi;7.62;125.4705;G0;0.864;12.28004617988788;-83.307172;60.663459;71.573083
53754;Merak;UMa;2.34;24.4499;A1V;0.033;60.31148196178175;-13.103033;3.398358;20.360601
30049;Furud;CMa;3.02;111.1111;B2.5V;-0.16;666.1929002234552;-8.512138;95.786306;-55.662081
53584;Alkes;Crt;4.08;48.8043;K1III;1.079;48.39494493016627;-44.746057;12.036889;-15.32333
86347;Dziban;Dra;4.57;22.8363;F5IV-V;0.434;6.748387308707568;-0.551088;-6.978598;21.736754
48478;Felis;Hya;4.94;188.3239;K5III;1.559;326.587832172336;-152.168245;92.455966;-61.341498
39318;Naos;Pup;2.21;332.2259;O5IAf;-0.269;12554.51673687138;-130.674899;218.376203;-213.564535
119137;Onkaria;Oph;14.67;12.9199;m;1.74;0.00019696996149;-2.493928;-12.627569;1.117419
49528;Regulus;Leo;1.36;24.3132;B7V;-0.087;147.09570767969765;-21.018857;11.132218;5.041397
42687;Asellus Borealis;Cnc;4.66;55.5556;A1IV;0.01;36.77900704223862;-33.797361;39.125009;20.33287
48099;Natasha;Vel;8.54;32.3729;K1V;0.855;0.3502676269138128;-17.62853;11.226113;-24.722742
4417;Cih;Cas;2.15;168.3502;B0IV:evar;-0.046;3407.218616593573;79.836717;20.168018;146.837047
75187;Alkalurops B;Boo;6.51;36.062;G1V;0.6;2.818382931264453;-17.991461;-22.319858;21.876782
8884;Sheratan;Ari;2.64;17.9856;A5V...;0.165;24.774220576332848;14.752622;8.063457;6.389157
113529;Fumalsamakah;Psc;4.48;125.1564;B6Ve;-0.115;220.19122114844777;121.152668;-30.275882;8.338293
60530;Acrux;Cru;0.77;98.7167;B0.5IV;-0.243;4176.379929509739;-44.363755;-5.171957;-88.034513
40602;;Pup;11.85;100000.0;;0.134;158489.3192461114;-48949.522414;70757.594136;-50963.782508
17661;Alcyone;Tau;2.85;123.6094;B7III;-0.086;963.8290236239706;61.664507;94.489136;50.483636
37933;Tapecue;Car;8.1;33.2557;G6IV/V;0.745;0.5541151189716866;-8.804898;17.312575;-26.994249
30270;Tejat;Gem;2.87;71.0227;M3IIIvar;1.621;312.4640085806112;-6.562116;65.281443;27.194957
65272;Alcor;UMa;3.99;25.0564;A5V SB;0.169;13.867558288718882;-13.393436;-5.223608;20.521915
101767;Deneb;Cyg;1.25;432.9004;A2Ia;0.092;51617.86054966733;197.250632;-232.113407;307.600832
